"treatment","site","moist_grav","tstage","hour","time_accum","moist_vol","temp","C_R_r","C_R_sd","C_R_cv","C_R_se","C13","C13sd","C_R_gm","C_R_sdnorm","C_R_sd001","C_R_sd005","C_R_sd01","one"
1,"bare_fallow",0.01,1,888,888,0.018,5,8.83917397821875e-08,9.88556911068177e-09,0.111838155183296,5.70743598714477e-09,-26.76,2.81980495779407,8.45954391111008e-07,4.97887618318734e-05,0.0100497887618319,0.0500497887618319,0.100049788761832,1
1,"bare_fallow",0.01,2,1224,72,0.018,20,1.40277776121502e-06,7.09749743309144e-08,0.0505960219025993,4.09774205356802e-08,-28.5433333333333,1.28375750565803,8.45954391111008e-07,0.00035746612596809,0.0103574661259681,0.0503574661259681,0.100357466125968,1
1,"bare_fallow",0.01,3,1656,432,0.018,20,3.35025823254076e-07,4.77586727379806e-08,0.142552213659547,2.75734825614123e-08,-29.0066666666667,0.699237680144122,8.45954391111008e-07,0.000240537004570464,0.0102405370045705,0.0502405370045705,0.10024053700457,1
1,"bare_fallow",0.01,4,1766,71,0.018,35,2.15813349628783e-06,9.00236069477447e-08,0.0417136414881623,5.19751537047014e-08,-26.7466666666667,0.297040962382855,8.45954391111008e-07,0.00045340474335709,0.0104534047433571,0.0504534047433571,0.100453404743357,1
1,"bare_fallow",0.01,5,3621,1773,0.018,5,2.23637873238271e-08,1.13549624098103e-09,0.0507738794211853,6.55579060394206e-10,NA,NA,8.45954391111008e-07,5.71893750073566e-06,0.0100057189375007,0.0500057189375007,0.100005718937501,1
1,"bare_fallow",0.01,6,4393,700,0.018,35,1.06903373880311e-06,1.69632240746947e-07,0.158678098351571,9.79372198584894e-08,-28.5166666666667,0.326241219549789,8.45954391111008e-07,0.000854354376464856,0.0108543543764649,0.0508543543764649,0.100854354376465,1
2,"bare_fallow",0.03,1,840,576,0.054,5,1.44167788016192e-06,1.61234594485874e-07,0.111838155183296,1.61234594485874e-07,-19.11,NA,1.94631487904753e-06,0.000812059552063787,0.0108120595520638,0.0508120595520638,0.100812059552064,1
2,"bare_fallow",0.03,2,1368,264,0.054,20,1.12889890894999e-06,1.60927038468669e-07,0.142552213659547,1.60927038468669e-07,NA,NA,1.94631487904753e-06,0.000810510543289571,0.0108105105432896,0.0508105105432896,0.10081051054329,1
2,"bare_fallow",0.03,3,1556,188,0.054,20,1.38879816676608e-06,1.97976252998826e-07,0.142552213659547,1.97976252998826e-07,NA,NA,1.94631487904753e-06,0.000997109260839051,0.0109971092608391,0.0509971092608391,0.100997109260839,1
2,"bare_fallow",0.03,4,1672,44,0.054,35,6.30446621459765e-06,2.11448918099071e-06,0.335395433810832,2.11448918099071e-06,NA,NA,1.94631487904753e-06,0.0106496446537067,0.0206496446537067,0.0606496446537067,0.110649644653707,1
2,"bare_fallow",0.03,5,3480,1680,0.054,5,5.31391600343925e-07,5.94298562623637e-08,0.111838155183296,5.94298562623637e-08,NA,NA,1.94631487904753e-06,0.000299319030196455,0.0102993190301965,0.0502993190301965,0.100299319030196,1
2,"bare_fallow",0.03,6,4369,734,0.054,20,8.82656503465591e-07,1.25824638470016e-07,0.142552213659547,1.25824638470016e-07,NA,NA,1.94631487904753e-06,0.000633716975444131,0.0106337169754441,0.0506337169754441,0.100633716975444,1
3,"bare_fallow",0.05,1,1224,576,0.09,5,1.44167788016192e-06,2.50164467570342e-08,0.0173523136487496,1.76892991430911e-08,-25.285,1.63341666454093,5.39650701782904e-05,0.000125995569452836,0.0101259955694528,0.0501259955694528,0.100125995569453,1
3,"bare_fallow",0.05,2,1752,264,0.09,20,5.14059073688746e-05,2.88939960043744e-06,0.0562075401121491,2.04311405102701e-06,-30.06,0.240416305603426,5.39650701782904e-05,0.0145524882718025,0.0245524882718025,0.0645524882718025,0.114552488271803,1
3,"bare_fallow",0.05,3,1940,188,0.09,20,5.21544521309693e-05,3.95206632278678e-06,0.0757762024392936,2.79453289654151e-06,-29.565,0.0919238815542505,5.39650701782904e-05,0.0199046192167512,0.0299046192167512,0.0699046192167512,0.119904619216751,1
3,"bare_fallow",0.05,4,2056,44,0.09,35,0.000165137648091275,5.53864131200736e-05,0.335395433810832,3.91641083028036e-05,-27.125,0.318198051533948,5.39650701782904e-05,0.278954190768579,0.288954190768579,0.328954190768579,0.378954190768579,1
3,"bare_fallow",0.05,5,3864,1680,0.09,5,3.55335060058209e-06,2.01110789257905e-07,0.0565975080604094,1.42206802854044e-07,-26.71,0.197989898732234,5.39650701782904e-05,0.00101289638219841,0.0110128963821984,0.0510128963821984,0.101012896382198,1
3,"bare_fallow",0.05,6,4753,734,0.09,20,5.00973849978798e-05,1.18571413816654e-06,0.0236681842418866,8.38426507646327e-07,-27.35,0.226274169979695,5.39650701782904e-05,0.00597186041237313,0.0159718604123731,0.0559718604123731,0.105971860412373,1
4,"bare_fallow",0.07,1,1087,576,0.126,5,2.33867275754283e-06,3.47893453680626e-07,0.148756790602096,2.00856379131818e-07,-24.9333333333333,0.523863849996669,9.49251882909406e-05,0.00175216865253173,0.0117521686525317,0.0517521686525317,0.101752168652532,1
4,"bare_fallow",0.07,2,1615,264,0.126,20,5.74130325460579e-05,1.64897032595527e-05,0.287211849440706,9.52033461575982e-06,-29.3833333333333,0.632877028602976,9.49251882909406e-05,0.0830505456060199,0.0930505456060199,0.13305054560602,0.18305054560602,1
4,"bare_fallow",0.07,3,1803,188,0.126,20,7.79172226765805e-05,1.87604250684688e-05,0.240773790748931,1.08313364633923e-05,-29.51,0.103923048454132,9.49251882909406e-05,0.0944870573601487,0.104487057360149,0.144487057360149,0.194487057360149,1
4,"bare_fallow",0.07,4,1919,44,0.126,35,0.000227140249705913,7.47113976033248e-05,0.328921878443194,4.31346455178128e-05,-26.9833333333333,0.298384539367128,9.49251882909406e-05,0.376284656932796,0.386284656932796,0.426284656932796,0.476284656932796,1
4,"bare_fallow",0.07,5,3818,1772,0.126,5,4.91073066661343e-06,8.79489381121641e-07,0.179095422011438,5.07773430939997e-07,-26.71,0.476235235991626,9.49251882909406e-05,0.00442955654247681,0.0144295565424768,0.0544295565424768,0.104429556542477,1
4,"bare_fallow",0.07,6,4080,190,0.126,35,0.000227209092523078,8.17823894915216e-05,0.359943295329234,4.72170845879008e-05,-27.3766666666667,0.151767365837763,9.49251882909406e-05,0.411897774103372,0.421897774103372,0.461897774103372,0.511897774103372,1
4,"bare_fallow",0.07,7,4635,187,0.126,20,6.75473171607991e-05,1.95230547958858e-05,0.289027834361066,1.12716409418085e-05,-26.7266666666667,0.198578280114753,9.49251882909406e-05,0.0983280491572969,0.108328049157297,0.148328049157297,0.198328049157297,1
5,"bare_fallow",0.09,1,1087,576,0.162,5,4.74736565752706e-06,3.40533151035213e-06,0.717309715747911,1.96606906418172e-06,-26.9133333333333,2.26892779376809,0.000113017856720954,0.0171509841901053,0.0271509841901053,0.0671509841901053,0.117150984190105,1
5,"bare_fallow",0.09,2,1615,264,0.162,20,9.50253068785812e-05,4.81764434777532e-05,0.506985402733934,2.78146826104796e-05,-29.52,0.59573484034426,0.000113017856720954,0.242641110831821,0.252641110831821,0.292641110831821,0.342641110831821,1
5,"bare_fallow",0.09,3,1802,187,0.162,20,8.12216940504674e-05,1.97203455235355e-05,0.2427965305831,1.13855467965256e-05,-29.2866666666667,0.948700866097071,0.000113017856720954,0.0993217057632653,0.109321705763265,0.149321705763265,0.199321705763265,1
5,"bare_fallow",0.09,4,1919,44,0.162,35,0.00020461051507003,1.77191040398476e-05,0.0865991859400921,1.0230129487205e-05,-26.97,0.71014083110324,0.000113017856720954,0.0892424342024871,0.0992424342024871,0.139242434202487,0.189242434202487,1
5,"bare_fallow",0.09,5,3818,1771,0.162,5,4.96082181101145e-06,1.58015237288427e-06,0.318526331539833,9.12301397845358e-07,-27.0866666666667,0.493186915208963,0.000113017856720954,0.00795845229250323,0.0179584522925032,0.0579584522925032,0.107958452292503,1
5,"bare_fallow",0.09,6,3911,30,0.162,35,0.000216023890288195,3.25972530425616e-05,0.150896518894619,1.88200328189653e-05,-27.0866666666667,0.603683139845179,0.000113017856720954,0.16417637163203,0.17417637163203,0.21417637163203,0.26417637163203,1
5,"bare_fallow",0.09,7,4080,185,0.162,35,0.000226062973233158,9.07632724729766e-05,0.401495526555624,5.24021997948044e-05,-27.6733333333333,0.381750354725879,0.000113017856720954,0.45713007573388,0.46713007573388,0.50713007573388,0.55713007573388,1
5,"bare_fallow",0.09,8,4634,186,0.162,20,7.14902867786581e-05,3.45593456878963e-05,0.48341316345388,1.99528475359242e-05,-27.0466666666667,0.569239258425956,0.000113017856720954,0.17405846970012,0.18405846970012,0.22405846970012,0.27405846970012,1
6,"bare_fallow",0.11,1,1087,576,0.198,5,3.86363775450347e-06,1.22803415332537e-06,0.317844019381468,7.09005848996458e-07,-26.3433333333333,1.77023538924442,0.000117196715418782,0.00618500556687794,0.0161850055668779,0.0561850055668779,0.106185005566878,1
6,"bare_fallow",0.11,2,1615,264,0.198,20,0.000138904417462071,4.19671455977604e-05,0.30212966847667,2.42297428079872e-05,-29.6633333333333,0.330807093837684,0.000117196715418782,0.211367923640599,0.221367923640599,0.261367923640599,0.311367923640599,1
6,"bare_fallow",0.11,3,1801,186,0.198,20,8.51802522220664e-05,3.8294622837861e-05,0.449571606550615,2.21094108039543e-05,-28.4833333333333,0.0907377172587754,0.000117196715418782,0.192871228208346,0.202871228208346,0.242871228208346,0.292871228208346,1
6,"bare_fallow",0.11,4,1848,21,0.198,35,0.000202224067803817,5.30847147609911e-05,0.262504435488312,3.06484743571127e-05,-27.81,0.639765582068932,0.000117196715418782,0.267361665328102,0.277361665328102,0.317361665328102,0.367361665328102,1
6,"bare_fallow",0.11,5,3817,1771,0.198,5,4.86653694763076e-06,1.36475404029457e-06,0.28043638730802,7.87941112541699e-07,-26.59,0.775435361587283,0.000117196715418782,0.00687359656389344,0.0168735965638934,0.0568735965638934,0.106873596563893,1
